id,komentar,label
1,Acara ORMAWA kemarin seru sekali,positif
2,Kegiatan BEM sangat bermanfaat,positif
3,Acara ORMAWA kemarin seru sekali,positif
4,Acara kampus sangat terorganisir,positif
5,Panitia kegiatan sangat profesional,positif
6,UKM kampus sangat aktif,positif
7,HIMA sangat membantu mahasiswa,positif
8,Program kerja BEM sangat bagus,positif
9,ORMAWA sangat inspiratif,positif
10,Program kerja BEM sangat bagus,positif
11,Acara kampus sangat terorganisir,positif
12,UKM kampus sangat aktif,positif
13,Sangat puas dengan kegiatan ini,positif
14,ORMAWA sangat inspiratif,positif
15,Acara kampus sangat terorganisir,positif
16,Kegiatan BEM sangat bermanfaat,positif
17,Sangat puas dengan kegiatan ini,positif
18,Sangat puas dengan kegiatan ini,positif
19,HIMA sangat membantu mahasiswa,positif
20,Panitia kegiatan sangat profesional,positif
21,Acara kampus sangat terorganisir,positif
22,Program kerja BEM sangat bagus,positif
23,Panitia kegiatan sangat profesional,positif
24,Panitia kegiatan sangat profesional,positif
25,Acara ORMAWA kemarin seru sekali,positif
26,Acara ORMAWA kemarin seru sekali,positif
27,Acara kampus sangat terorganisir,positif
28,Kegiatan ini menambah wawasan saya,positif
29,ORMAWA sangat inspiratif,positif
30,Kegiatan BEM sangat bermanfaat,positif
31,Acara kampus sangat terorganisir,positif
32,Panitia kegiatan sangat profesional,positif
33,Acara kampus sangat terorganisir,positif
34,Panitia kegiatan sangat profesional,positif
35,Panitia kegiatan sangat profesional,positif
36,UKM kampus sangat aktif,positif
37,Kegiatan ini menambah wawasan saya,positif
38,Program kerja BEM sangat bagus,positif
39,Program kerja BEM sangat bagus,positif
40,Kegiatan ini menambah wawasan saya,positif
41,ORMAWA sangat inspiratif,positif
42,Kegiatan ini menambah wawasan saya,positif
43,Acara kampus sangat terorganisir,positif
44,Acara ORMAWA kemarin seru sekali,positif
45,Kegiatan BEM sangat bermanfaat,positif
46,Sangat puas dengan kegiatan ini,positif
47,UKM kampus sangat aktif,positif
48,UKM kampus sangat aktif,positif
49,Acara ORMAWA kemarin seru sekali,positif
50,Kegiatan ini menambah wawasan saya,positif
51,Kegiatan ini menambah wawasan saya,positif
52,Kegiatan BEM sangat bermanfaat,positif
53,Acara ORMAWA kemarin seru sekali,positif
54,Kegiatan ini menambah wawasan saya,positif
55,Program kerja BEM sangat bagus,positif
56,Kegiatan ini menambah wawasan saya,positif
57,UKM kampus sangat aktif,positif
58,Kegiatan BEM sangat bermanfaat,positif
59,Sangat puas dengan kegiatan ini,positif
60,Kegiatan ini menambah wawasan saya,positif
61,Panitia kegiatan sangat profesional,positif
62,Sangat puas dengan kegiatan ini,positif
63,UKM kampus sangat aktif,positif
64,Kegiatan BEM sangat bermanfaat,positif
65,Sangat puas dengan kegiatan ini,positif
66,UKM kampus sangat aktif,positif
67,Acara ORMAWA kemarin seru sekali,positif
68,HIMA sangat membantu mahasiswa,positif
69,Kegiatan ini menambah wawasan saya,positif
70,Panitia kegiatan sangat profesional,positif
71,Sangat puas dengan kegiatan ini,positif
72,UKM kampus sangat aktif,positif
73,Sangat puas dengan kegiatan ini,positif
74,UKM kampus sangat aktif,positif
75,Kegiatan ini menambah wawasan saya,positif
76,Panitia kegiatan sangat profesional,positif
77,UKM kampus sangat aktif,positif
78,Kegiatan BEM sangat bermanfaat,positif
79,Acara ORMAWA kemarin seru sekali,positif
80,HIMA sangat membantu mahasiswa,positif
81,Acara kampus sangat terorganisir,positif
82,Sangat puas dengan kegiatan ini,positif
83,Kegiatan BEM sangat bermanfaat,positif
84,Acara kampus sangat terorganisir,positif
85,UKM kampus sangat aktif,positif
86,ORMAWA sangat inspiratif,positif
87,UKM kampus sangat aktif,positif
88,Sangat puas dengan kegiatan ini,positif
89,Acara ORMAWA kemarin seru sekali,positif
90,HIMA sangat membantu mahasiswa,positif
